"Name","ALGO Price","1h %","24h %","7d %"
"United States Dollar",2.28,-1.59,-0.02,-4.84
"Bitcoin",66765.87,-0.92,-2.69,-4.25
"Ethereum",4488.8,-0.56,-1.98,-4.69
"Solana",115.2,0.69,-2.91,8.38
"XRP",0.94,-0.75,-1.39,1.73
"Dogecoin",0.19,-0.33,-2.18,-2.62
"Polkadot",22.24,-0.61,-2.84,6.46
"Uniswap",11.55,-0.17,-0.42,3.49
"Bitcoin Cash",441.05,-0.25,-0.39,-5.58
"Litecoin",156.99,-1.28,-3.18,2.17
"Chainlink",15.86,-0.36,-2.13,1.05
"Avalanche",66.68,0.25,-1.51,-8.66
"Monero",408.99,1.54,9.55,25.14
"Cosmos",25.8,-0.57,5.9,11.22
"Tezos",3.94,-0.35,-0.25,-2.18
"Binance Coin",690.77,-0.3,-0.55,7.52
"Stellar",0.29,-0.85,-1.56,0.71
"TRON",0.16,-1.32,-3.71,0.21
"Cardano",1.18,0.16,-2.82,3.78
"VeChain",0.07,-0.48,-1.45,4.98
"Ethereum Classic",46.33,-0.8,-2.01,1.98
"Filecoin",18.03,-1.02,-1.72,-7.56
"Theta Network",2.8,-0.38,-2.12,-4.25
"Aave",205.46,0.83,1.81,11.19
"EOS",2.92,-0.47,-2.22,-4.39
"The Graph",0.35,-0.88,-3.31,8.75
"Axie Infinity",47.76,-0.82,-1.06,1.63
"NEO",23.29,-0.05,-1.46,-0.3
"Maker",3221.55,-0.7,-0.59,1.23
"Staked Ether",4418.33,-0.53,-1.78,-4.45
"Bitcoin SV",113.28,-0.67,-2.34,-5.34
"Amp",0.03,-1.37,-2.33,5.19
"IOTA",0.75,-0.6,-2.69,5.65
