"Name","ALGO Price","1h %","24h %","7d %"
"United States Dollar",2.35,0.24,2.6,-1.69
"Bitcoin",68046.41,0.26,-1.59,-2.25
"Ethereum",4549.87,-0.03,-1.16,-3.22
"Solana",114.93,0.66,-4.69,7.87
"XRP",0.95,0.8,-0.56,3.12
"Dogecoin",0.2,0.12,-0.41,-0.92
"Polkadot",22.41,0.36,-2.96,7.1
"Uniswap",11.68,-0.45,-0.17,4.42
"Bitcoin Cash",442.3,0.34,-2.08,-5.14
"Litecoin",159.17,0.3,-2.36,3.56
"Chainlink",15.98,-0.2,-2.16,1.79
"Avalanche",66.37,-0.46,-4.09,-8.84
"Monero",403.8,2.32,7.43,22.78
"Cosmos",26.01,-0.16,5.55,11.88
"Tezos",3.97,-0.14,-0.36,-1.47
"Binance Coin",699.38,0.48,-0.01,8.65
"Stellar",0.3,0.08,-1.39,2.14
"TRON",0.17,0.27,2.15,7.07
"Cardano",1.19,0.5,-1.94,5.08
"VeChain",0.07,-0.56,-1.5,5.21
"Ethereum Classic",46.92,0.31,-1.39,3.24
"Filecoin",18.26,-0.01,-1.01,-6.09
"Theta Network",2.82,0.25,-2.21,-3.3
"Aave",204.21,1.33,1.55,10.17
"EOS",2.96,0.44,-1.64,-2.95
"The Graph",0.35,0.46,-4.18,8.87
"Axie Infinity",48.28,0.44,-0.79,2.69
"NEO",23.52,-0.08,-1.43,0.63
"Maker",3257.97,0.09,-0.15,2.36
"Staked Ether",4478.15,0,-0.99,-3
"Bitcoin SV",114.72,0.8,-2.13,-3.94
"Amp",0.03,1.03,-0.86,7.29
"IOTA",0.75,0.48,-2.46,6.41
